Best,Epoch,Trades,Avg profit,Median profit,Total profit,Stake currency,Profit,Avg duration,Trade count long,Trade count short,Max drawdown,Max drawdown percent,Objective,buy_rsi,sell_rsi,roi_t1,roi_t2,roi_t3,roi_p1,roi_p2,roi_p3,stoploss,trailing_stop,trailing_stop_positive,trailing_stop_positive_offset_p1,trailing_only_offset_is_reached
,74,11,-1.17%,-2.568696313460346,-0.03039486,EUR,-30.39,14:27:00,11,0,40.37630345,4.00%,109.00000,27,71,228,661,439,0.041999999999999996,0.121,0.095,-0.024000000000000007,True,0.018000000000000002,0.043000000000000003,True
,75,2,0.67%,0.6695996371898799,0.00312472,EUR,3.12,16:30:00,2,0,6.14364855,0.61%,118.00000,24,78,1138,323,121,0.039,0.03,0.239,-0.024000000000000007,True,0.009000000000000001,0.047,True
,76,11,-1.33%,-2.5686963134603458,-0.03445758,EUR,-34.46,13:05:00,11,0,41.60727909,4.13%,109.00000,27,66,284,405,439,0.087,0.1,0.143,-0.024000000000000007,True,0.008,0.035,True
,77,4,-1.93%,-1.4446462357743326,-0.01867248,EUR,-18.67,23:00:00,4,0,30.422116029999998,3.02%,116.00000,25,71,1119,155,316,0.025,0.11199999999999999,0.143,-0.07600000000000001,True,0.018000000000000002,0.043000000000000003,True
,78,4,-0.87%,-1.3874911024498968,-0.00831513,EUR,-8.32,16:00:00,4,0,13.25410722,1.32%,116.00000,25,67,533,349,150,0.062,0.1,0.29200000000000004,-0.02600000000000001,True,0.025,0.028999999999999998,True
,79,12,-2.65%,-1.6370635958173676e-05,-0.07404265,EUR,-74.04,"1 day, 2:40:00",12,0,78.20523192,7.80%,108.00000,28,67,267,691,154,0.057,0.136,0.147,-0.093,True,0.006,0.042,True
,80,305,-0.25%,0.00024028793598232517,-0.18413797,EUR,-184.14,"1 day, 3:19:00",305,0,211.94530680000008,21.12%,"5,761.05241",42,67,1119,155,201,0.057,0.136,0.147,-0.091,True,0.015,0.042,True
,81,4,-2.18%,-1.7644447369910652,-0.02101577,EUR,-21.02,22:30:00,4,0,30.40018019,3.02%,116.00000,25,71,1138,323,121,0.07200000000000001,0.149,0.451,-0.08800000000000001,True,0.012,0.017,True
,82,4,-2.15%,-2.3868545860420074,-0.02074539,EUR,-20.75,"1 day, 6:45:00",4,0,30.494988399999997,3.02%,116.00000,25,67,1115,691,287,0.035,0.055,0.29200000000000004,-0.093,True,0.012,0.041,True
,83,4,-1.54%,-2.78347023435348,-0.01470067,EUR,-14.70,21:30:00,4,0,19.89061503,1.98%,116.00000,25,85,1180,155,444,0.057,0.055,0.29200000000000004,-0.02600000000000001,True,0.025,0.042,True
,84,4,-0.83%,0.930449021732481,-0.00808082,EUR,-8.08,19:45:00,4,0,17.5226849,1.74%,116.00000,25,73,937,134,284,0.039,0.086,0.248,-0.08600000000000001,True,0.012,0.017,True
,85,4,-2.18%,-2.3653921774828244,-0.02100506,EUR,-21.01,"1 day, 7:00:00",4,0,30.48710122,3.02%,116.00000,25,61,1439,155,444,0.07200000000000001,0.055,0.318,-0.082,True,0.025,0.042,True
,86,4,-1.25%,-2.564680727385324,-0.01196450,EUR,-11.96,21:30:00,4,0,18.40278775,1.83%,116.00000,25,85,1138,323,444,0.057,0.055,0.29200000000000004,-0.024000000000000007,True,0.025,0.043000000000000003,True
,87,27,-0.54%,0.12547349371391153,-0.03594440,EUR,-35.94,"1 day, 0:11:00",27,0,82.65002072,8.09%,457.80663,29,67,1226,680,201,0.037,0.149,0.451,-0.08800000000000001,True,0.015,0.017,True
